[13-May-2022 14:52:14]  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[13-May-2022 14:52:14]  %      Step 3a: Electrode Interpolation      %
[13-May-2022 14:52:14]  %%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%%
[13-May-2022 14:52:48]     Subject: 4 - Channels:  TP7 F8 FT8 FC6
[13-May-2022 14:53:22]     Subject: 6 - Channels:  Fp1 AF7 PO3 Fpz Fp2 AF8 C6
[13-May-2022 14:53:55]     Subject: 7 - Channels:  Fp1 AF7 T7 TP7 P9 Fpz Fp2 AF8 P2
[13-May-2022 14:54:34]     Subject: 8 - Channels:  Fp2 CP2
[13-May-2022 14:55:10]     Subject: 9 - Channels:  AF7 FT7 AF8 C6
[13-May-2022 14:55:47]     Subject: 10 - Channels:  FT7 FC5 CP5 P9 AFz FT8 P2
[13-May-2022 14:56:25]     Subject: 11 - Channels:  AF7 F7 Pz Fp2 F8 FC6 C4
[13-May-2022 14:57:02]     Subject: 12 - Channels:  AF3 FT7 P7 P9 P2
[13-May-2022 14:57:38]     Subject: 13 - Channels:  Fp1 F5 F7 FT7 FC3 T7 Oz POz T8
[13-May-2022 14:58:15]     Subject: 14 - Channels:  Fp1 FC5 T7 TP8 P10
[13-May-2022 14:58:50]     Subject: 15 - Channels:  TP7 P3 P9 P4 P10 PO8 PO4
[13-May-2022 14:59:26]     Subject: 16 - Channels:  AF3 F7 T7 F8 C6 P2 PO4
[13-May-2022 15:00:03]     Subject: 17 - Channels:  FT7 T7 CP5 CP3 FT8 T8
[13-May-2022 15:00:33]     Subject: 18 - Channels:  F5 FC5 T7 TP7 Fp2 PO8
[13-May-2022 15:01:08]     Subject: 20 - Channels:  FC2 C6 PO4
